Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,10.040000,10.040000,10.040000,10.040000,10.040000,0
2022-12-28,10.040000,10.040000,10.040000,10.040000,10.040000,0
2022-12-29,10.040000,10.040000,10.040000,10.040000,10.040000,0
2022-12-30,10.040000,10.040000,10.040000,10.040000,10.040000,0
2023-01-03,10.040000,10.040000,10.040000,10.040000,10.040000,0
2023-01-04,10.040000,10.040000,10.040000,10.040000,10.040000,0
2023-01-05,10.040000,10.040000,10.040000,10.040000,10.040000,0
2023-01-06,10.040000,10.040000,10.040000,10.040000,10.040000,0
2023-01-09,10.300000,10.300000,10.300000,10.300000,10.300000,300
2023-01-10,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-01-11,10.310000,10.310000,10.310000,10.310000,10.310000,300
2023-01-12,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-13,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-17,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-18,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-19,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-20,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-23,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-24,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-25,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-26,10.130000,10.487000,10.130000,10.487000,10.487000,1000
2023-01-27,10.487000,10.487000,10.487000,10.487000,10.487000,0
2023-01-30,10.487000,10.487000,10.487000,10.487000,10.487000,0
2023-01-31,10.487000,10.487000,10.487000,10.487000,10.487000,0
2023-02-01,10.487000,10.487000,10.487000,10.487000,10.487000,0
2023-02-02,10.487000,10.487000,10.487000,10.487000,10.487000,0
2023-02-03,10.487000,10.487000,10.487000,10.487000,10.487000,0
2023-02-06,10.360000,10.380000,10.360000,10.370000,10.370000,37000
2023-02-07,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-08,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-09,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-10,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-13,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-14,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-15,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-16,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-17,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-21,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-22,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-02-23,10.380000,10.595000,10.380000,10.400000,10.400000,20000
2023-02-24,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-02-27,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-02-28,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-01,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-02,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-03,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-06,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-07,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-08,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-09,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-10,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-13,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-14,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-15,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-16,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-17,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-20,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-21,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-22,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-03-23,10.430000,10.430000,10.430000,10.430000,10.430000,200
2023-03-24,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-03-27,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-03-28,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-03-29,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-03-30,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-03-31,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-04-03,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-04-04,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-04-05,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-04-06,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-04-10,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-04-11,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-04-12,10.430000,10.430000,10.430000,10.430000,10.430000,0
2023-04-13,10.510000,10.520000,10.510000,10.520000,10.520000,900
2023-04-14,10.520000,10.540000,10.520000,10.540000,10.540000,1500
2023-04-17,10.540000,10.540000,10.540000,10.540000,10.540000,0
2023-04-18,10.540000,10.540000,10.540000,10.540000,10.540000,0
2023-04-19,10.540000,10.540000,10.540000,10.540000,10.540000,0
2023-04-20,10.540000,10.540000,10.540000,10.540000,10.540000,0
2023-04-21,10.540000,10.540000,10.540000,10.540000,10.540000,0
2023-04-24,10.540000,10.540000,10.540000,10.540000,10.540000,0
2023-04-25,10.540000,10.540000,10.540000,10.540000,10.540000,0
2023-04-26,10.500000,10.504000,10.500000,10.504000,10.504000,200
2023-04-27,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-04-28,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-01,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-02,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-03,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-04,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-05,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-08,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-09,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-10,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-11,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-12,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-15,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-16,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-17,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-18,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-19,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-22,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-23,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-24,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-25,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-26,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-30,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-05-31,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-06-01,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-06-02,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-06-05,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-06-06,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-06-07,10.504000,10.504000,10.504000,10.504000,10.504000,0
2023-06-08,10.590000,10.590000,10.590000,10.590000,10.590000,300
2023-06-09,10.590000,10.590000,10.590000,10.590000,10.590000,0
2023-06-12,10.590000,10.590000,10.590000,10.590000,10.590000,0
2023-06-13,10.590000,10.590000,10.590000,10.590000,10.590000,0
2023-06-14,10.590000,10.590000,10.590000,10.590000,10.590000,0
2023-06-15,10.590000,10.590000,10.590000,10.590000,10.590000,0
2023-06-16,10.590000,10.590000,10.590000,10.590000,10.590000,0
2023-06-20,10.590000,10.590000,10.590000,10.590000,10.590000,0
2023-06-21,11.700000,11.700000,11.700000,11.700000,11.700000,200
2023-06-22,11.700000,11.700000,11.700000,11.700000,11.700000,0
2023-06-23,11.700000,11.700000,11.700000,11.700000,11.700000,0
2023-06-26,11.700000,11.700000,11.700000,11.700000,11.700000,0
2023-06-27,11.700000,11.700000,11.700000,11.700000,11.700000,0
2023-06-28,11.700000,11.700000,11.700000,11.700000,11.700000,0
2023-06-29,11.700000,11.700000,11.700000,11.700000,11.700000,0
2023-06-30,11.700000,11.700000,11.700000,11.700000,11.700000,0
2023-07-03,11.700000,11.700000,11.700000,11.700000,11.700000,0
2023-07-05,11.700000,11.700000,11.700000,11.700000,11.700000,0
2023-07-06,11.700000,11.700000,11.700000,11.700000,11.700000,0
2023-07-07,11.700000,11.700000,11.700000,11.700000,11.700000,0
