Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,10.220000,10.220000,10.220000,10.220000,10.220000,171
2022-12-28,10.220000,10.220000,10.220000,10.220000,10.220000,0
2022-12-29,10.220000,10.220000,10.220000,10.220000,10.220000,0
2022-12-30,10.220000,10.220000,10.220000,10.220000,10.220000,0
2023-01-03,10.220000,10.220000,10.220000,10.220000,10.220000,0
2023-01-04,10.350000,10.350000,10.350000,10.350000,10.350000,223
2023-01-05,10.340000,10.350000,10.270000,10.270000,10.270000,1363
2023-01-06,10.270000,10.270000,10.270000,10.270000,10.270000,0
2023-01-09,10.340000,10.350000,10.310000,10.310000,10.310000,1122
2023-01-10,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-11,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-12,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-13,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-17,10.400000,10.400000,10.400000,10.400000,10.400000,4743
2023-01-18,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-01-19,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-01-20,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-01-23,10.388800,10.388800,10.388800,10.388800,10.388800,209
2023-01-24,10.388800,10.388800,10.388800,10.388800,10.388800,0
2023-01-25,10.330000,10.370000,10.330000,10.370000,10.370000,1302
2023-01-26,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-01-27,10.370000,10.370000,10.370000,10.370000,10.370000,0
2023-01-30,10.400000,10.400000,10.400000,10.400000,10.400000,4135
2023-01-31,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-02-01,10.400000,10.400000,10.400000,10.400000,10.400000,0
2023-02-02,10.480000,10.480000,10.480000,10.480000,10.480000,100
2023-02-03,10.480000,10.480000,10.480000,10.480000,10.480000,102
2023-02-06,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-07,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-08,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-09,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-10,10.380000,10.480000,10.380000,10.480000,10.480000,503
2023-02-13,10.480000,10.480000,10.480000,10.480000,10.480000,100
2023-02-14,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-15,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-16,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-17,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-21,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-22,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-23,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-24,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-27,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-02-28,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-03-01,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-03-02,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-03-03,10.480000,10.480000,10.480000,10.480000,10.480000,0
2023-03-06,10.480000,10.480000,10.480000,10.480000,10.480000,0
